bonafide_or_spoof,set,language,singer,title,url,views,likes,comments,user_id,username,subscribers,num_channels,sample_width,frame_rate,num_frames,audio_time,avg_zero_cross_rate,avg_rms,avg_spect_cent,avg_tempo,avg_db_inten,avg_flatness,avg_contrast,avg_harmonic_ratio
0,Validation,Spanish,G.E.M.,【4K超清 | 官方MV】邓紫棋《Un Momento》西语版 | Revelación｜G.E.M.,https://www.bilibili.com/video/BV1HP411y7mb/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,51899,4596,140,1889545341,GEM鄧紫棋,1957028,2,2,48000,11433984,238.208,0.0566344376,0.2015266269,1490.786332,151.9990809,-54.35841751,0.0211090073,26.61275706,-1.72E-05
0,T01,Mandarin,Stefanie_Sun,孙燕姿.[爱情证书].MV.官方字幕修复版 1080p,https://www.bilibili.com/video/BV1nb4y1U7Jj/?spm_id_from=333.788.recommend_more_video.9&vd_source=6773a02315422cd9e9d1490e5baec619,31540,392,53,384831261,---今晚打老虎---,3373,2,2,44100,11326464,256.8359184,0.07958728361,0.1733368039,1991.927239,123.046875,-45.37227249,0.02608302794,25.3851148,4.44E-07
0,Training,Mandarin,Mao_Buyi,【毛不易】毛不易精选歌曲合集（带歌词 分集播放）《消愁》《像我这样的人》《平凡的一天》,https://www.bilibili.com/video/BV11M411n7TC/?spm_id_from=333.337.search-card.all.click,938489,7578,222,3.49312E+15,bili_11508234129,76163,2,2,44100,7575552,171.7812245,0.08115578858,0.08792272955,1894.589182,123.046875,-49.19948196,0.01282619499,24.68317997,-2.44E-08
0,T02,Mandarin,Li_Jian,李健-贝加尔湖畔 (《无心法师》网络剧插曲)(蓝光),https://www.bilibili.com/video/BV1GS4y1Y7u7?p=4&vd_source=bda8c28f9763524b2b9bd9962b1b4120,24157,476,23,35911414,定云止水中_,1126,2,2,44100,10289152,233.3141043,0.07390092259,0.07885706425,1848.049073,123.046875,-52.70405579,0.006846576463,26.02477607,-1.21E-06
0,Training,Mandarin,Hebe_Tien,田馥甄《演员》,https://www.bilibili.com/video/BV1ts411a7m1/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,173701,961,206,71493775,我开GTR我会撞,183,2,2,44100,12132352,275.1100227,0.07552436354,0.0791689828,1845.319544,184.5703125,-42.71765518,0.009434044361,23.9409432,-1.19E-05
0,Training,Mandarin,Hebe_Tien,懸日,https://www.bilibili.com/video/BV1ja4y147Wr?p=20,12402,92,4,387051761,李谦菻,12326,2,2,44100,11736064,266.1239002,0.05656074999,0.07413069904,1384.318999,161.4990234,-54.00355148,0.008710009977,25.45070014,9.36E-07
0,Training,Mandarin,Stefanie_Sun,天使的指纹-孙燕姿,https://www.bilibili.com/video/BV1J841177n3?p=35&vd_source=bda8c28f9763524b2b9bd9962b1b4120,3335891,28129,1038,358594389,敏皓音乐,70436,2,2,44100,9394176,213.0198639,0.06279722624,0.1531906128,1620.52575,129.1992188,-51.29804611,0.007305701263,26.98226261,-2.47E-06
0,Training,Japanese,Kenshi_Yonezu,クランベリーとパンケーキ,https://www.bilibili.com/video/BV12R4y1A75y?p=12,79299,1223,36,418392289,无损经典音乐合集,79871,2,2,44100,9290752,210.6746485,0.0708546999,0.307620734,1989.785201,86.1328125,-39.81817245,0.0193725843,22.43628142,2.01E-07
0,T01,Mandarin,Stefanie_Sun,银泰-孙燕姿,https://www.bilibili.com/video/BV1J841177n3?p=40&vd_source=bda8c28f9763524b2b9bd9962b1b4120,3335972,28129,1038,358594389,敏皓音乐,70436,2,2,44100,9336832,211.7195465,0.05283477278,0.1230374798,1273.097371,151.9990809,-54.22705078,0.0033104748,27.61833034,-6.12E-07
0,Validation,Mandarin,The_Landlord's_Cat,房东的猫翻唱鹿先森乐队歌曲《春风十里》，真是好听啊！,https://www.bilibili.com/video/BV1jf4y1B758/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619,1116699,11527,225,354496361,人间理想王心怡,966,2,2,44100,12379136,280.7060317,0.05149279169,0.08994429559,1282.568374,135.9991776,-59.83248901,0.02373247966,27.16762106,-7.66E-08
